"Data Source","World Development Indicators",

"Last Updated Date","2022-02-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.945734309201425","0.966137646164824","0.980435886026921","1.00846095515453","1.04961207321058","1.06270678339592","1.07783108379979","1.09813459492806","1.15724761550771","1.16587273954301","1.1523341164467","1.1910743412454","1.22561363484664","1.22851370599221","1.22227797445479","1.22486029934244","1.22389837446015","1.26279574872994","1.30153919071472","1.31400044475978","1.29007138608087","1.30294060707092","1.31780135631561","1.28514099121094","1.30884277820587","1.36231791973114","1.35504460334778","1.35068964958191","","","",
"Africa Eastern and Southern","AFE","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.19029673296252","10.0743573034232","10.9159997738725","11.7414972405309","12.2171401764068","14.5777876937148","14.5994026083325","14.175491627089","14.5467283965685","16.6134779097919","17.2422638894206","17.5094188570492","17.0358776005124","17.0225200169416","17.4458279431472","17.2055580487587","17.1501727227827","17.9482149452575","19.1216105982343",
"Africa Western and Central","AFW","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.05906860663943E-08","2.11349102759076E-08","1.19131193598034E-07","1.18442275261265E-06","2.639359745163E-05","0.000497769702084001","0.0239547578469269","0.0459977814139432","0.0633887550553831","0.410849904656889","2.08174368553687","4.20352124228691","10.0339099689791","19.1036725930885","24.8236690094099","34.2751856417415","38.9633351201728","39.5788394838675","46.3437816747414","38.2842027871051","50.0527643621963","64.6057510375977","65.6816711425781","66.0193710327148","65.0006713867188","68.1820449829102","80.7789688110352","92.9517211914063","117.156129623677","147.434156654357","159.350681624228",
"Albania","ALB","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.33922077112799","3.06628303198235","9.98275408045018","22.0045825284312","29.2666035764992","31.4858879958761","35.434351116666","38.7245862686367","40.7185409525077","41.1015858692201","42.0252849121175","42.8238770881277","42.9260716334727","44.5932189475413","44.8984927086312","45.5273867721358","44.4122369174032","44.6349647478663","44.5611557679774","44.3380698548843","44.1962143630185","43.8576848821868","43.6552483249241","44.1137386737462","42.8939298406512","42.7057005247646","42.3857268832585","42.2555724939228","42.3503730912597","42.2977601391758","42.4124892466306",
"Andorra","AND","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.16774281195829","1.13870321221918","1.13344735056486","1.12135333699174","1.09502660790891","1.11444573030861","1.15758810539516","1.12642208730979","1.06649545168782","1.14008312782307","1.24294563052015","1.18769383585057","1.21328851583307","1.23967658542386","1.30980402142577","1.48016011982538","1.6085413305718","1.76280150333089","2.04963954154623","1.72529043085873","1.91842699446922","2.12660837173462","2.17772459983826","2.21331596374512","2.18256711959839","2.18778467178345","2.18975210189819","2.22179198265076","2.34775501572567","2.20407385333484","1.99568722616133",
"Argentina","ARG","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.293830095128154","0.683552260471019","0.775734443250927","0.730787649262136","0.735895779060934","0.74359533256588","0.729842685763884","0.713694800916724","0.693716389442816","0.671283862798871","0.663416497706567","0.64206380368549","0.825195078578283","0.89518074471796","1.03178803348564","1.1038583288378","1.21866090820727","1.36408481160199","1.64810141073973","1.88715394904791","2.25557148371969","2.73312783241272","3.21815371513367","3.94096684455872","5.45196390151978","6.86654806137085","9.29496574401855","10.2568216323853","14.2265629922715","21.0943755138792","29.1577687917216",
"Armenia","ARM","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00512927210934153","0.00890021728934463","0.0581989995306696","0.847749468089999","34.9216116149178","89.3294980816981","104.909862293058","121.346787524066","132.833997133581","131.013884166739","126.388788858725","128.657680529328","129.640056966204","133.129238672678","137.778591266016","137.90394268798","140.03462955163","142.20511081564","147.846760399134","150.392352096481","160.209068988194","163.650009155273","157.963836669922","159.846099853516","165.185897827148","172.923522949219","161.228881835938","155.970703125","156.559743384501","155.453007697038","156.708455755413",
"American Samoa","ASM","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
