v1;v2;v3;v4;v5;v6;v7;v8;v9;v10;v11;v12;v13;v14;v15;v16;v17;v18;v19;v20;v21;v22;v23;v24;v25;v26;v27;v28;v29;v30;v31;v32;v33;v34;v35;v36;v37;v38;v39;v40;v41;v42;v43;v44;v45;v46;v47;v48;v49;v50;v51;v52;v53;v54;v55;v56;v57;v58;v59;v60;v61;v62;v63;v64;v65;v66;v67;v68;v69;v70;v71;v72;v73;v74;v75;v76;v77;v78;v79;v80;v81;v82;v83;v84;v85;v86;v87;v88;v89;v90;v91;v92;v93;v94;v95;v96;v97;v98;v99;v100;v101;v102;v103;v104;v105;v106;v107;v108;v109;v110;v111;v112;v113;v114;v115;v116;v117;v118;v119;v120;v121;v122;v123;v124;v125;v126;v127;v128;v129;v130;v131;v132;v133;v134;v135;v136;v137;v138;v139;v140;v141;v142;v143;v144;v145;v146;v147;v148;v149;v150;v151;v152;v153;v154;v155;v156;v157;v158;v159;v160;v161;v162;v163;v164;v165;v166;v167;v168;v169;v170;v171;v172;v173;v174;v175;v176;v177;v178;v179;v180;v181;v182;v183;v184;v185;v186;v187;v188;v189;v190;v191;v192;v193;v194;v195;v196;v197;v198;v199;v200;v201;v202;v203;v204;v205;v206;v207;v208;v209;v210;v211;v212;v213;v214;v215;v216;v217;v218;v219;v220;v221;v222;v223;v224;v225;v226;v227;v228;v229;v230;v231;v232;v233;v234;v235;v236;v237;v238;v239;v240;v241;v242;v243;v244;v245;v246;v247;v248;v249;v250;v251;v252;v253;v254;v255;v256;v257;v258;v259;v260;v261;v262;v263;v264;v265;v266;v267;v268;v269;v270;v271;v272;v273;v274;v275;v276;v277;v278;v279;v280;v281;v282;v283;v284;v285;v286;v287;v288;v289;v290;v291;v292;v293;v294;v295;v296;v297;v298;v299;v300;v301;v302;v303;v304;v305;v306;v307;v308;v309;v310;v311;v312;v313;v314;v315;v316;v317;v318;v319;v320;v321;v322;v323;v324;v325;v326;v327;v328;v329;v330;v331;v332;v333;v334;v335;v336;v337;v338;v339;v340;v341;v342;v343;v344;v345;v346;v347;v348;v349;v350;v351;v352;v353;v354;v355;v356;v357
Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½;10101101;10101102;10101103;10101104;10101105;10101106;10101107;10101201;10101202;10101203;10101204;10101205;10101206;10101207;10102101;10102102;10102103;10102104;10102105;10102106;10102107;10102201;10102202;10102203;10102204;10102205;10102206;10102207;10201101;10201101;10201101;10201101;10201101;10201101;10201102;10201102;10201102;10201102;10201102;10201102;10201103;10201103;10201103;10201103;10201103;10201103;10201104;10201104;10201104;10201104;10201104;10201104;10201105;10201105;10201105;10201105;10201105;10201105;10201106;10201106;10201106;10201106;10201106;10201106;10201201;10201201;10201201;10201201;10201201;10201201;10201202;10201202;10201202;10201202;10201202;10201202;10201203;10201203;10201203;10201203;10201203;10201203;10201204;10201204;10201204;10201204;10201204;10201204;10201205;10201205;10201205;10201205;10201205;10201205;50102002;50103003;50104004;10302002;10303003;40101001;10401001;10401002;10401003;10402101;10402102;10402103;10402104;10402105;10402106;10402107;10402108;10402201;10402202;10402203;10402204;10402207;10402301;10402302;10402303;10402304;10402305;10402307;10403101;10403102;10403103;10403104;10403105;10403107;10403108;10403201;10403202;10403203;10403204;10403207;10403301;10403302;10403303;10403304;10403305;10403307;10501001;10501002;10301001;10301001;10301001;10301001;10301001;10301001;20101001;20101001;20101001;20101001;20101001;40102002;50101001;50102002;50105005;20101001;20102001;20102002;20102003;20102004;20102005;20102006;20102007;20103001;20103002;20103003;20103004;20104001;20105001;20105002;20105003;20105004;20105005;20105006;20105007;20105008;20105009;20105010;20105011;20105012;20105013;20106001;20106002;20106003;20106004;20106005;20106006;20106007;20106008;20106009;20106010;20106011;20106012;20106013;20201001;20202001;20202002;20202003;20202004;20202005;20202006;20202007;20203001;20203002;20203003;20203004;20204001;20204002;20205003;20301001;20302001;20302002;20302003;20302004;20302005;20302006;20302007;20303001;20303002;20303003;20303004;20304001;20401001;20401002;20401003;20401004;20401005;20401006;20401007;20401008;20401009;20401010;20101001;20102001;20102002;20102003;20102004;20102005;20102006;20102007;20103001;20103002;20103003;20103004;20104001;20105001;20105002;20105003;20105004;20105005;20105006;20105007;20105008;20105009;20105010;20105011;20105012;20105013;20106001;20106002;20106003;20106004;20106005;20106006;20106007;20106008;20106009;20106010;20106011;20106012;20106013;20201001;20202001;20202002;20202003;20202004;20202005;20202006;20202007;20203001;20203002;20203003;20203004;20204001;20204002;20301001;20302001;20302002;20302003;20302004;20302005;20302006;20302007;20303001;20303002;20303003;20303004;20304001;20401001;20401002;20401003;20401004;20401005;20401006;20401007;20401008;20401009;20401010;30101001;30101002;30101003;30101004;30101005;30101006;30101007;30101008;30101009;30101010;30101011;30101012;30101013;30101014;30101015;30201001;30201002;30201003;30301001;30301002;30301003;30301004;30301005;30101001;30101002;30101003;30101004;30101005;30101006;30101007;30101008;30101009;30101010;30101011;30101012;30101013;30101014;30101015;30201001;30201002;30201003;30301001;30301002;30301003;30301004;30301005
Australia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sources:;Income: Atkinson, Anthony B. and Leigh, Andrew (2007). The Distribution of Top Incomes in Australia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;The income control used to estimate the series excludes transfers until 1943, and it includes transfers from 1944 onwards, reflecting the fact that most transfers were taxed thereafter. Income year goes from July 1st year t to June 30 year t+1.;The income control used to estimate the series excludes transfers until 1943, and it includes transfers from 1944 onwards, reflecting the fact that most transfers were taxed thereafter. Income year goes from July 1st year t to June 30 year t+1.;The income control used to estimate the series excludes transfers until 1943, and it includes transfers from 1944 onwards, reflecting the fact that most transfers were taxed thereafter. Income year goes from July 1st year t to June 30 year t+1.;The income control used to estimate the series excludes transfers until 1943, and it includes transfers from 1944 onwards, reflecting the fact that most transfers were taxed thereafter. Income year goes from July 1st year t to June 30 year t+1.;The income control used to estimate the series excludes transfers until 1943, and it includes transfers from 1944 onwards, reflecting the fact that most transfers were taxed thereafter. Income year goes from July 1st year t to June 30 year t+1.;The income control used to estimate the series excludes transfers until 1943, and it includes transfers from 1944 onwards, reflecting the fact that most transfers were taxed thereafter. Income year goes from July 1st year t to June 30 year t+1.;The income control used to estimate the series excludes transfers until 1943, and it includes transfers from 1944 onwards, reflecting the fact that most transfers were taxed thereafter. Income year goes from July 1st year t to June 30 year t+1.;The income control used to estimate the series excludes transfers until 1943, and it includes transfers from 1944 onwards, reflecting the fact that most transfers were taxed thereafter. Income year goes from July 1st year t to June 30 year t+1.;The income control used to estimate the series excludes transfers until 1943, and it includes transfers from 1944 onwards, reflecting the fact that most transfers were taxed thereafter. Income year goes from July 1st year t to June 30 year t+1.;The income control used to estimate the series excludes transfers until 1943, and it includes transfers from 1944 onwards, reflecting the fact that most transfers were taxed thereafter. Income year goes from July 1st year t to June 30 year t+1.;The income control used to estimate the series excludes transfers until 1943, and it includes transfers from 1944 onwards, reflecting the fact that most transfers were taxed thereafter. Income year goes from July 1st year t to June 30 year t+1.;The income control used to estimate the series excludes transfers until 1943, and it includes transfers from 1944 onwards, reflecting the fact that most transfers were taxed thereafter. Income year goes from July 1st year t to June 30 year t+1.;The income control used to estimate the series excludes transfers until 1943, and it includes transfers from 1944 onwards, reflecting the fact that most transfers were taxed thereafter. Income year goes from July 1st year t to June 30 year t+1.;The income control used to estimate the series excludes transfers until 1943, and it includes transfers from 1944 onwards, reflecting the fact that most transfers were taxed thereafter. Income year goes from July 1st year t to June 30 year t+1.;;;;;;;;;;;;;;;The sum of all sources add up to 100%.;The sum of all sources add up to 100%.;;;;;The sum of all sources add up to 100%.;The sum of all sources add up to 100%.;;;;;The sum of all sources add up to 100%.;The sum of all sources add up to 100%.;;;;;The sum of all sources add up to 100%.;The sum of all sources add up to 100%.;;;;;The sum of all sources add up to 100%.;The sum of all sources add up to 100%.;;;;;The sum of all sources add up to 100%.;The sum of all sources add up to 100%.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Individuals aged 15+.;Individuals aged 15+.;;The series includes transfers.;;From www.globalfinancialdata.com. Year t is Dec. 31, as fiscal year goes from July 1st year t to June 30 year t+1.;The series includes transfers. Tax units are individuals aged 15+.;;Adults are individuals aged 15+.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;The Pareto-Lorenz a coefficients were computed using the top shares estimates. As a rule they were estimated from the top 0.1% share within the top 1% share: a=1/[1-log(S1%/S0.1%)/log(10)]. When the top 0.1% and top 1% shares were not available, the closest substitutes were used.;The inverted Pareto-Lorenz b coefficients were computed from the Pareto-Lorenz a coefficients using the formula b=a/(a-1). Alternatively they can be computed by using directly the top income shares series and the formula: b=1/[log(S1%/S0.1%)/log(10)].;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Discrepancy between net national saving and (Domestic investment + Net foreign saving) is partly due to the fact that the ABS reports zero capital transfers inflows for all years;;;Discrepancy between net national saving and (Domestic investment + Net foreign saving) is partly due to the fact that the ABS reports zero capital transfers inflows for all years;Discrepancy between net national saving and (Domestic investment + Net foreign saving) is partly due to the fact that the ABS reports zero capital transfers inflows for all years;;;;;;;;;;;;;;;;;;;Discrepancy between net national saving and (Domestic investment + Net foreign saving) is partly due to the fact that the ABS reports zero capital transfers inflows for all years;;;Discrepancy between net national saving and (Domestic investment + Net foreign saving) is partly due to the fact that the ABS reports zero capital transfers inflows for all years;Discrepancy between net national saving and (Domestic investment + Net foreign saving) is partly due to the fact that the ABS reports zero capital transfers inflows for all years
Units;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;Thousand;Thousand;;Nominal million Australian Dollars;;Dec. 312014=1.00;Real 2014 Australian Dollars;Real 2014 Australian Dollars;Real 2014 Australian Dollars;Real 2014 Australian Dollars;Real 2014 Australian Dollars;Real 2014 Australian Dollars;Real 2014 Australian Dollars;Real 2014 Australian Dollars;Real 2014 Australian Dollars;Real 2014 Australian Dollars;Real 2014 Australian Dollars;Real 2014 Australian Dollars;Real 2014 Australian Dollars;Real 2014 Australian Dollars;Real 2014 Australian Dollars;Real 2014 Australian Dollars;Real 2014 Australian Dollars;Real 2014 Australian Dollars;Real 2014 Australian Dollars;Real 2014 Australian Dollars;Real 2014 Australian Dollars;Real 2014 Australian Dollars;Real 2014 Australian Dollars;Real 2014 Australian Dollars;Real 2014 Australian Dollars;Real 2014 Australian Dollars;Real 2014 Australian Dollars;Real 2014 Australian Dollars;Real 2014 Australian Dollars;Real 2014 Australian Dollars;Real 2014 Australian Dollars;Real 2014 Australian Dollars;Real 2014 Australian Dollars;Real 2014 Australian Dollars;Real 2014 Australian Dollars;Real 2014 Australian Dollars;Real 2014 Australian Dollars;Real 2014 Australian Dollars;Real 2014 Australian Dollars;Real 2014 Australian Dollars;;;billion current Australian Dollars;billion constant 2014 Australian Dollars ;per adult, current Australian Dollars;per capita, current Australian Dollars;per adult, constant 2014 Australian Dollars ;per capita, constant 2014 Australian Dollars ;billion constant 2014 Australian Dollars ;per adult, current Australian Dollars;per capita, current Australian Dollars;per adult, constant 2014 Australian Dollars ;per capita, constant 2014 Australian Dollars ;2014 = 100;thousands;thousands;thousands;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;billion current Australian Dollars;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income;% of national income
Data/No Data;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Download/No Downloand;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Keep decimals;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;5;5;7;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;5;5;5;5;5;5;5;5;5;5;5;5;3;3;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Show decimals;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Category;Top income shares;Top income shares;Top income shares;Top income shares;Top income shares;Top income shares;Top income shares;Top income shares;Top income shares;Top income shares;Top income shares;Top income shares;Top income shares;Top income shares;Top income shares;Top income shares;Top income shares;Top income shares;Top income shares;Top income shares;Top income shares;Top income shares;Top income shares;Top income shares;Top income shares;Top income shares;Top income shares;Top income shares;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Top groups income composition;Population units;Population units;Population units;Income;Income;Price index;Average incomes;Average incomes;Average incomes;Average incomes;Average incomes;Average incomes;Average incomes;Average incomes;Average incomes;Average incomes;Average incomes;Average incomes;Average incomes;Average incomes;Average incomes;Average incomes;Average incomes;Average incomes;Average incomes;Average incomes;Average incomes;Average incomes;Average incomes;Average incomes;Average incomes;Average incomes;Average incomes;Average incomes;Average incomes;Average incomes;Average incomes;Average incomes;Average incomes;Average incomes;Average incomes;Average incomes;Average incomes;Average incomes;Average incomes;Average incomes;Pareto-Lorenz coefficients;Pareto-Lorenz coefficients;National income;National income;National income;National income;National income;National income;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Price index;Population;Population;Population;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Corporate wealth;Corporate wealth;Corporate wealth;Corporate wealth;Corporate wealth;Corporate wealth;Corporate wealth;Corporate wealth;Corporate wealth;Corporate wealth;Corporate wealth;Corporate wealth;Corporate wealth;Corporate wealth;Corporate wealth;Public wealth;Public wealth;Public wealth;Public wealth;Public wealth;Public wealth;Public wealth;Public wealth;Public wealth;Public wealth;Public wealth;Public wealth;Public wealth;National wealth;National wealth;National wealth;National wealth;National wealth;National wealth;National wealth;National wealth;National wealth;National wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Private wealth;Corporate wealth;Corporate wealth;Corporate wealth;Corporate wealth;Corporate wealth;Corporate wealth;Corporate wealth;Corporate wealth;Corporate wealth;Corporate wealth;Corporate wealth;Corporate wealth;Corporate wealth;Corporate wealth;Public wealth;Public wealth;Public wealth;Public wealth;Public wealth;Public wealth;Public wealth;Public wealth;Public wealth;Public wealth;Public wealth;Public wealth;Public wealth;National wealth;National wealth;National wealth;National wealth;National wealth;National wealth;National wealth;National wealth;National wealth;National wealth;Private saving;Private saving;Private saving;Private saving;Private saving;Private saving;Private saving;Private saving;Private saving;Private saving;Private saving;Private saving;Private saving;Private saving;Private saving;Public saving;Public saving;Public saving;National saving;National saving;National saving;National saving;National saving;Private saving;Private saving;Private saving;Private saving;Private saving;Private saving;Private saving;Private saving;Private saving;Private saving;Private saving;Private saving;Private saving;Private saving;Private saving;Public saving;Public saving;Public saving;National saving;National saving;National saving;National saving;National saving
