"Data Source","World Development Indicators",

"Last Updated Date","2018-05-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Australia","AUS","Net income from abroad (current US$)","NY.GSR.NFCY.CD","-295665808.041214","-293425915.556053","-240788442.154777","-315824840.40766","-332624034.046366","-312465001.679919","-344943442.71475","-374062045.021839","-519655056.557285","-576772314.928883","-647328928.211446","-670847799.305633","-685747663.551402","-839205637.411915","-959469417.833456","-939505667.076335","-1510147485.18845","-1596696490.02065","-1741484322.12948","-2091332500.28399","-2635097493.03621","-2723789620.34134","-2907425797.1974","-2132896583.99626","-3711284187.64717","-4377540845.28649","-4669138220.48125","-5013896241.39756","-6506839348.07916","-10110740167.7388","-12366294728.7418","-13155168354.1323","-10990540644.4667","-9040191118.60596","-9200968523.00242","-12678942678.9427","-14183611532.6252","-14623571763.9693","-12591738452.1468","-12151272089.2342","-11990202851.2215","-10620908017.6022","-10727814985.3495","-13150262085.032","-17488262910.7981","-25776574951.1352","-29061096136.5678","-38067833869.8281","-43085049239.0331","-32353114416.139","-44368008455.9147","-55832593907.1281","-46826149721.5921","-39000718169.6932","-38386119526.3013","-27904151759.7138","-25222592092.1927","",
"Austria","AUT","Net income from abroad (current US$)","NY.GSR.NFCY.CD","-45258837.2366716","-50194864.2693328","-53245467.7132119","-57488348.2181202","-62951144.9341089","-68607957.6445742","-73201475.9942488","-89749197.713098","-115143615.224784","-111463814.659153","-50234083.0907648","-42743529.0230202","-84797130.7815941","-124640382.317802","-43998306.8315666","-80826578.1780833","-154393878.959883","-218887603.030555","-258344641.334218","-214649511.065363","-120580940.225484","-39795662.6922412","45881261.5955473","56993258.7712579","85212983.9763428","143300944.400106","-191731050.022533","-288996843.709186","360995653.627549","798636089.443578","1255878131.42926","486306423.099588","168946656.649136","298004850.348989","-82384652.4515119","-926982393.885628","-133480634.260463","-984665689.480212","-1326700755.89151","-3441189004.90092","-1713838216.32578","-2698344519.01566","-1238377564.46452","-657900677.200903","-414576607.896697","-668946648.426813","784719608.581106","-391732822.337805","3589277867.29164","-173242567.379828","3278215414.16427","1453662838.70662","413468643.987089","1160312482.49087","582568785.654595","-2796290068.93084","-199328537.607329","",
"Azerbaijan","AZE","Net income from abroad (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1580793.54917016","-2500268.77978721","-13541837.7106225","-62200651.0113927","-9458971.14178168","-13261959.3634194","-44920027.5069779","-285193596.666185","-336089337.485236","-384694507.303024","-441983710.038689","-700520810.013229","-1646518087.58198","-2680674725.76673","-5079542943.71285","-5020326192.79455","-3269470017.41727","-3167808645.82036","-4511713308.85146","-3945137474.54175","-3688463989.80242","-2156827744.48553","-2027815732.96896","-2472408347.43373","",
"Burundi","BDI","Net income from abroad (current US$)","NY.GSR.NFCY.CD","-2107986","-2179994","-2288006","-2471998","-2764002","-1515851.85185185","-9396571.42857143","-11325714.2857143","-13520000","-12034285.7142857","-7449142.85714286","-9075428.57142857","-11397714.2857143","-8357283.88273811","-8990476.19047619","-8645079.36507937","-11262608.6956522","-10348888.8888889","-14460000","-10160000","2086666.66666667","-2900000","-7666666.66666667","-9330823.02313071","-13025645.309498","-18375176.0709255","-20644652.7108698","-28415344.7717708","-22935289.7182948","-17623702.4712133","-14889492.2775977","-11244924.6059511","-13657987.6430008","-9814032.94892916","-11375600.3055453","-12410125.001001","-13908363.9966969","-12500000","-8299999.91066759","-11304510.0787849","14300000","-12317565.1231408","-13685412.0315118","-17896392.8248139","-27301126.3409361","-17700045.8219718","-8799999.63059584","-5899999.87983766","-4300000.13494243","-16999999.5122662","-12100000.3006301","-17500000.4361364","-9122606.66440394","-1420354.3613016","102089.194922281","-7228430.42865273","-20000000","",
"Belgium","BEL","Net income from abroad (current US$)","NY.GSR.NFCY.CD","148927940.427737","126177940.729745","111850653.99689","97574589.2555867","96127154.91376","130169951.425925","144075895.970233","159825832.210292","177459415.881497","187503883.191959","311182331.585317","312869665.323575","399387223.902484","445232457.04823","520188483.844242","602061533.399145","668170010.449321","586326055.149128","618773792.750096","257965877.820583","35704097.1168437","192526510.212951","-222216493.024898","-268649546.351085","-74355068.4166434","189047897.27563","324983113.599422","819503943.814155","855746681.294569","454663390.663391","849778126.508933","1614512817.48376","1741951693.85194","3748316581.15672","5837656136.96648","6194307608.10071","6362475570.03257","6032701849.34596","6160368970.88242","5895589175.36757","5980744426.01806","4316510067.11409","4304347826.08696","5883747178.32957","4910975912.59002","4543837831.11553","5559779199.59854","6190665206.67944","12158488355.0608","597110308.419005","15240946872.9948","5314064199.60197","12183576972.4772","8588224316.85056","3745502024.09813","-1036311997.94113","2978755931.86891","",
"Benin","BEN","Net income from abroad (current US$)","NY.GSR.NFCY.CD","-713322.982392389","-726043.494233265","-727508.520945138","-751189.716280216","-772704.010003787","-800008.895747955","-99999.8371855238","-400007.88615001","-1399985.94306862","-2500010.00151561","-2499984.26211573","-3102652.37973318","-2100010.07826127","0","2299977.52432753","-1299938.08118877","0","-199998.616084276","300008.552845283","1199984.86284421","-2899930.23462748","-3199966.1430493","-6000038.95238771","-13299955.9131489","-29600010.2527321","-21299998.2193058","-26000000.288762","-28599996.4729753","-24800001.4772626","-38156443.8918987","-38932654.1660912","-30839582.7964506","-60448076.266553","-39832601.1274088","-35133285.7953112","-44255662.2439339","-46021231.2560747","-29820057.5531285","-13389829.4742045","-12338819.4005806","-12267262.2670165","-14576314.8865987","-28139644.2579659","-38093579.7865211","-37000875.2854521","-17758419.8930703","-30212849.6982444","-48459438.4589127","-11308486.0764265","-32995451.1598494","-53483202.3292016","-15501346.6744062","-66738474.8037861","-68997024.5324265","-61154293.457925","-27031893.6781585","3204002.91260728","",
"Burkina Faso","BFA","Net income from abroad (current US$)","NY.GSR.NFCY.CD","4451866.28933449","3190155.67554608","8493789.73755764","3424697.05076764","3436548.44709014","-3627782.31859917","-1704099.74991696","-1719527.04238074","-1595400.95797218","-1598458.22730761","0","-504728.054259861","-1303798.07608373","-238219.814248431","-2253973.5426743","-12071599.9830155","-9522028.00246411","-20188171.097641","-11100242.0500603","-9209176.68915616","-4080303.10560182","-9807492.98756051","-10261941.192832","-10085025.9535094","-4950148.59599329","-5699963.42898557","-5399908.00041235","-8800102.15065391","-13100079.1678446","-11900066.8321379","-7345792.53204694","-9216364.43490039","-7992939.73777105","-13612565.7657658","-14263807.9727726","-10038101.0937829","6899888.06620788","-2192909.92347893","-2796602.16251602","-5232605.32258064","-26688694.8106592","-24423000.9747101","-18795153.2034545","-25636600.669339","-30703135.8842806","-20571860.1750513","-2361735.28624849","-17672583.7618178","-21981016.5223628","-26485317.6564669","-235264306.640526","-395194738.507386","-219610281.217197","-251248886.729819","-494416633.799541","-441089222.325828","-298269242.623504","",
"Bangladesh","BGD","Net income from abroad (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","21327785.6316669","10399158.9254331","-8428819.28796755","-11816383.8383838","-42293736.2637363","-43542652.1164021","-29761228.6465177","18892474.1602067","341064871.481028","321756487.025948","513930976.430976","532080000","376923076.923077","428133333.333333","568903225.806452","605288446.737229","636853612.827461","635714256.230305","661064411.697228","769761257.691816","902698430.847905","1055810514.0995","1157014903.49922","1211149098.94723","1369039788.27939","1431101321.5859","1570840266.22296","1731961836.613","1638491475.16679","2183963085.49539","2425181347.15026","2816901647.69832","3077723577.23577","4051146515.7832","5107949609.03562","7052834863.72249","8124890992.17469","9338019435.32615","10185295732.9449","11285907465.2141","12063695606.2117","11521979400.5443","12664020663.5342","12753289864.5722","",
"Bulgaria","BGR","Net income from abroad (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","-313923076.923077","-197714285.714286","-154466666.666667","-79166666.6666667","-38611111.1111111","-62842105.2631579","-131470588.235294","-314153846.153846","-421000000","-636777777.777778","-1636181818.18182","-1110967741.93548","-169742268.041237","-192681159.42029","-192452029.520295","-431812500","-396066891.512086","-356893691.658244","-283493581.004317","-184697339.065136","-323406584.090802","24900169.3596375","343500000","343800023.085358","305506063.107104","83504732.8632234","-851067145.514013","-3235922743.17705","-2321268321.86659","-971777919.954503","-1053878435.08867","-1803768218.98329","-722076215.505913","-1227605863.19218","-491792158.458825","-1008841532.53231","-138566823.143487","",
"Bahrain","BHR","Net income from abroad (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","-123640222.870788","-39893617.0212766","-101063829.787234","-161702127.659574","-152925531.914894","-291754787.234043","-313563829.787234","-346808510.638298","-526063829.787234","-523404255.319149","-687500000","190957446.808511","31648936.1702128","-193617021.276596","-242021276.595745","-59042553.1914894","-25265957.4468085","-236170212.765957","-161702127.659574","-270744680.851064","-223670212.765957","-321542553.191489","-525000000","-493085106.382979","-575000000","-413297872.340426","-385904255.319149","-298670212.765957","-923670212.765957","-2399734042.55319","-2373138297.87234","-3383776595.74468","-3837000000","-3925718085.10638","-5664000000","-1736000000","-2116037234.04255","",
